日期 : 2014-09-24| 订单号 : 20200302-170843-553948| 股票 : 600276| 买卖方向 : BUY  | 报价 : 38.18| 交易额 : 3818.00| 订单状态 : SUCCESS| 总资产 :  99981.46|
日期 : 2014-10-13| 订单号 : 20200302-170844-431173| 股票 : 601088| 买卖方向 : BUY  | 报价 : 15.46| 交易额 : 0.00| 订单状态 : SUCCESS| 总资产 :  98855.03|
日期 : 2014-10-14| 订单号 : 20200302-170844-549854| 股票 : 600196| 买卖方向 : BUY  | 报价 : 19.67| 交易额 : 17703.00| 订单状态 : SUCCESS| 总资产 :  97963.77|
日期 : 2014-10-14| 订单号 : 20200302-170844-549854| 股票 : 601088| 买卖方向 : BUY  | 报价 : 15.40| 交易额 : 10780.00| 订单状态 : SUCCESS| 总资产 :  97810.82|       
日期 : 2014-10-14| 订单号 : 20200302-170844-550852| 股票 : 600276| 买卖方向 : BUY  | 报价 : 38.37| 交易额 : 3836.56| 订单状态 : SUCCESS| 总资产 :  97851.67|
日期 : 2014-10-15| 订单号 : 20200302-170844-694468| 股票 : 600196| 买卖方向 : BUY  | 报价 : 19.84| 交易额 : 7936.00| 订单状态 : SUCCESS| 总资产 :  98396.83|
日期 : 2014-10-15| 订单号 : 20200302-170844-694468| 股票 : 600276| 买卖方向 : BUY  | 报价 : 39.30| 交易额 : 11790.00| 订单状态 : SUCCESS| 总资产 :  98262.35|       
日期 : 2014-10-17| 订单号 : 20200302-170844-993666| 股票 : 601601| 买卖方向 : SELL | 报价 : 19.37| 交易额 : 5809.79| 订单状态 : SUCCESS| 总资产 :  97039.62|
日期 : 2014-10-22| 订单号 : 20200302-170845-472912| 股票 : 600196| 买卖方向 : SELL | 报价 : 19.25| 交易额 : 23100.00| 订单状态 : SUCCESS| 总资产 :  96308.87|
日期 : 2014-10-22| 订单号 : 20200302-170845-473916| 股票 : 600703| 买卖方向 : SELL | 报价 : 14.40| 交易额 : 15840.00| 订单状态 : SUCCESS| 总资产 :  96236.26|       
日期 : 2014-10-22| 订单号 : 20200302-170845-473916| 股票 : 600276| 买卖方向 : SELL | 报价 : 38.32| 交易额 : 15327.96| 订单状态 : SUCCESS| 总资产 :  96245.90|
日期 : 2014-10-27| 订单号 : 20200302-170845-772114| 股票 : 600196| 买卖方向 : SELL | 报价 : 18.50| 交易额 : 1850.00| 订单状态 : SUCCESS| 总资产 :  95676.28|
日期 : 2014-10-27| 订单号 : 20200302-170845-772114| 股票 : 600703| 买卖方向 : BUY  | 报价 : 15.13| 交易额 : 10591.00| 订单状态 : SUCCESS| 总资产 :  95397.80|       
日期 : 2014-10-28| 订单号 : 20200302-170845-861249| 股票 : 600196| 买卖方向 : BUY  | 报价 : 19.10| 交易额 : 36290.00| 订单状态 : SUCCESS| 总资产 :  96100.07|
日期 : 2014-10-28| 订单号 : 20200302-170845-861249| 股票 : 601601| 买卖方向 : BUY  | 报价 : 19.01| 交易额 : 0.00| 订单状态 : SUCCESS| 总资产 :  96100.07|
日期 : 2014-10-29| 订单号 : 20200302-170845-988619| 股票 : 600196| 买卖方向 : SELL | 报价 : 19.13| 交易额 : 11478.00| 订单状态 : SUCCESS| 总资产 :  96690.38|
日期 : 2014-10-30| 订单号 : 20200302-170846-089317| 股票 : 601088| 买卖方向 : BUY  | 报价 : 14.94| 交易额 : 28386.00| 订单状态 : SUCCESS| 总资产 :  96167.41|
日期 : 2014-10-31| 订单号 : 20200302-170846-199060| 股票 : 600196| 买卖方向 : SELL | 报价 : 19.13| 交易额 : 19130.00| 订单状态 : SUCCESS| 总资产 :  97054.59|
日期 : 2014-11-03| 订单号 : 20200302-170846-301755| 股票 : 601088| 买卖方向 : SELL | 报价 : 15.01| 交易额 : 30020.00| 订单状态 : SUCCESS| 总资产 :  96657.54|
日期 : 2014-11-04| 订单号 : 20200302-170846-430914| 股票 : 601088| 买卖方向 : SELL | 报价 : 14.94| 交易额 : 7470.00| 订单状态 : SUCCESS| 总资产 :  96269.86|
日期 : 2014-11-05| 订单号 : 20200302-170846-623406| 股票 : 601601| 买卖方向 : BUY  | 报价 : 19.88| 交易额 : 37772.00| 订单状态 : SUCCESS| 总资产 :  95714.43|
日期 : 2014-11-06| 订单号 : 20200302-170846-733112| 股票 : 601601| 买卖方向 : BUY  | 报价 : 19.94| 交易额 : 17946.00| 订单状态 : SUCCESS| 总资产 :  95529.57|
日期 : 2014-11-06| 订单号 : 20200302-170846-734105| 股票 : 600196| 买卖方向 : BUY  | 报价 : 18.99| 交易额 : 0.00| 订单状态 : SUCCESS| 总资产 :  95529.57|
日期 : 2014-11-07| 订单号 : 20200302-170846-844806| 股票 : 601601| 买卖方向 : SELL | 报价 : 19.60| 交易额 : 50960.00| 订单状态 : SUCCESS| 总资产 :  94831.17|
日期 : 2014-11-07| 订单号 : 20200302-170846-845804| 股票 : 600276| 买卖方向 : BUY  | 报价 : 38.67| 交易额 : 3866.97| 订单状态 : SUCCESS| 总资产 :  94765.53|        
日期 : 2014-11-10| 订单号 : 20200302-170846-978453| 股票 : 601088| 买卖方向 : SELL | 报价 : 15.06| 交易额 : 3012.00| 订单状态 : SUCCESS| 总资产 :  95134.00|
日期 : 2014-11-11| 订单号 : 20200302-170847-097132| 股票 : 600196| 买卖方向 : BUY  | 报价 : 18.79| 交易额 : 30061.71| 订单状态 : SUCCESS| 总资产 :  94689.14|
日期 : 2014-11-17| 订单号 : 20200302-170847-468140| 股票 : 600703| 买卖方向 : BUY  | 报价 : 14.49| 交易额 : 17388.00| 订单状态 : SUCCESS| 总资产 :  95705.67|
日期 : 2014-11-18| 订单号 : 20200302-170847-548922| 股票 : 600196| 买卖方向 : SELL | 报价 : 19.24| 交易额 : 3848.00| 订单状态 : SUCCESS| 总资产 :  95928.05|
日期 : 2014-11-19| 订单号 : 20200302-170847-668672| 股票 : 600196| 买卖方向 : SELL | 报价 : 19.63| 交易额 : 29445.00| 订单状态 : SUCCESS| 总资产 :  95765.44|
日期 : 2014-11-20| 订单号 : 20200302-170847-772358| 股票 : 601088| 买卖方向 : BUY  | 报价 : 14.98| 交易额 : 14980.00| 订单状态 : SUCCESS| 总资产 :  94815.99|
日期 : 2014-11-20| 订单号 : 20200302-170847-773393| 股票 : 601601| 买卖方向 : BUY  | 报价 : 20.68| 交易额 : 10340.00| 订单状态 : SUCCESS| 总资产 :  94685.14|       
日期 : 2014-11-21| 订单号 : 20200302-170847-886117| 股票 : 601601| 买卖方向 : BUY  | 报价 : 21.17| 交易额 : 6351.00| 订单状态 : SUCCESS| 总资产 :  95503.26|
日期 : 2014-11-21| 订单号 : 20200302-170847-886117| 股票 : 601088| 买卖方向 : BUY  | 报价 : 15.05| 交易额 : 4515.00| 订单状态 : SUCCESS| 总资产 :  95485.97|        
日期 : 2014-11-24| 订单号 : 20200302-170847-997775| 股票 : 600703| 买卖方向 : SELL | 报价 : 13.81| 交易额 : 12429.00| 订单状态 : SUCCESS| 总资产 :  97624.90|
日期 : 2014-11-27| 订单号 : 20200302-170848-286033| 股票 : 600276| 买卖方向 : BUY  | 报价 : 36.17| 交易额 : 10851.00| 订单状态 : SUCCESS| 总资产 :  100994.77|
日期 : 2014-12-01| 订单号 : 20200302-170848-472518| 股票 : 600196| 买卖方向 : SELL | 报价 : 20.59| 交易额 : 6176.61| 订单状态 : SUCCESS| 总资产 :  100458.94|
日期 : 2014-12-01| 订单号 : 20200302-170848-472518| 股票 : 601088| 买卖方向 : SELL | 报价 : 16.07| 交易额 : 0.00| 订单状态 : SUCCESS| 总资产 :  100458.94|
日期 : 2014-12-02| 订单号 : 20200302-170848-576705| 股票 : 601601| 买卖方向 : BUY  | 报价 : 24.92| 交易额 : 4983.08| 订单状态 : SUCCESS| 总资产 :  102651.40|
日期 : 2014-12-03| 订单号 : 20200302-170848-674433| 股票 : 601601| 买卖方向 : SELL | 报价 : 24.05| 交易额 : 9620.00| 订单状态 : SUCCESS| 总资产 :  102863.35|
日期 : 2014-12-09| 订单号 : 20200302-170849-042485| 股票 : 600276| 买卖方向 : SELL | 报价 : 35.80| 交易额 : 14320.00| 订单状态 : SUCCESS| 总资产 :  103891.55|
日期 : 2014-12-10| 订单号 : 20200302-170849-122235| 股票 : 600703| 买卖方向 : BUY  | 报价 : 14.79| 交易额 : 10349.82| 订单状态 : SUCCESS| 总资产 :  105448.85|
日期 : 2014-12-11| 订单号 : 20200302-170849-234936| 股票 : 601601| 买卖方向 : SELL | 报价 : 25.19| 交易额 : 0.00| 订单状态 : SUCCESS| 总资产 :  103419.85|
日期 : 2014-12-19| 订单号 : 20200302-170849-870480| 股票 : 601601| 买卖方向 : BUY  | 报价 : 26.06| 交易额 : 13031.37| 订单状态 : SUCCESS| 总资产 :  107644.91|
日期 : 2014-12-22| 订单号 : 20200302-170849-953262| 股票 : 601088| 买卖方向 : SELL | 报价 : 19.31| 交易额 : 19310.00| 订单状态 : SUCCESS| 总资产 :  108292.64|
日期 : 2014-12-22| 订单号 : 20200302-170849-953262| 股票 : 600703| 买卖方向 : SELL | 报价 : 13.91| 交易额 : 11128.00| 订单状态 : SUCCESS| 总资产 :  108104.82|      
日期 : 2014-12-23| 订单号 : 20200302-170850-071944| 股票 : 600703| 买卖方向 : SELL | 报价 : 13.95| 交易额 : 5580.00| 订单状态 : SUCCESS| 总资产 :  107922.87|
日期 : 2014-12-23| 订单号 : 20200302-170850-071944| 股票 : 601601| 买卖方向 : SELL | 报价 : 28.33| 交易额 : 28327.13| 订单状态 : SUCCESS| 总资产 :  108759.18|      
日期 : 2014-12-24| 订单号 : 20200302-170850-185641| 股票 : 601088| 买卖方向 : BUY  | 报价 : 19.13| 交易额 : 7653.40| 订单状态 : SUCCESS| 总资产 :  107220.64|
日期 : 2014-12-24| 订单号 : 20200302-170850-186672| 股票 : 600196| 买卖方向 : BUY  | 报价 : 20.60| 交易额 : 4120.52| 订单状态 : SUCCESS| 总资产 :  107209.82|       
日期 : 2014-12-24| 订单号 : 20200302-170850-186672| 股票 : 600703| 买卖方向 : BUY  | 报价 : 14.24| 交易额 : 12816.00| 订单状态 : SUCCESS| 总资产 :  107069.78|  
